assistant_id,assistant_name
asst_wQcnhTkLgrFfGRrHXP6QC2Ya,"City of Calabasas, CA Fixed 2024"
asst_MSjHxAxwxEisp08i1aeaEBdT,"City of Turlock, CA Fixed & DAR 2024"
asst_3ZZ33RlX4eAApKD2EskbYIsj,"VIA Rail Canada Shuttle Services Toronto 2024"
asst_fTnLHh2LBmTiUmFRiVRGdYB5,"Toronto Metrolinx Bus Bridging For Multi-Track Closures 2024"
asst_iuUzWuBrkTFsTI5BtEsVQJIC,"University of Memphis Shuttle & On Demand 2024"
asst_NxnmosCbm4Iw5shuSurywWMr,"City of Lynwood, CA Fixed 2024"
asst_U4kZZ6Ic0BKpsHWru8LR4RyZ,"Cal State Northridge (CSUN) Charter 2024"
asst_cvv08ppAUabc5YYiNAvhB0KO,"California State University Fullerton, CA Shuttle 2024"

